id,generation,parent1,parent2,[in] input00,[in] input01,[in] input02,[in] input03,[in] input04,[in] input05,[in] input06,[in] input07,[in] input08,[in] input09,[in] input10,[in] input11,[in] input12,[in] input13,[in] input14,[in] input15,[in] input16,[in] input17,[in] input18,[in] input19,[in] input20,[min] weight
47,0,None,None,14.26925086,5.03521996,6.361763858,2.95610389,1.025853356,0.29288014,0.240387685,2.418804474,3.065038222,5.376523737,2.998143657,12.27382328,14.00598638,0.428243481,0.656681624,1.997816596,5.245598394,1.469829833,2.617936874,22.39694993,20.37900913,112333119.2
48,0,None,None,14.4799463,8.604697499,9.436462159,2.224799841,3.2385682,0.060653846,0.562999906,2.519983064,3.913512465,2.667065676,4.739173658,16.09228867,14.54495228,0.771131169,1.064034448,2.446286657,7.386867357,4.988639426,4.183322129,21.84004124,28.33528105,130631789.6
49,0,None,None,19.03909037,7.235752755,8.820840189,2.279570451,1.25859016,0.435668994,0.045527537,3.393884709,3.244210575,3.89081401,2.573139327,17.86769913,13.98114085,0.779424361,0.419900725,3.959247375,9.894988062,26.77353046,6.182693286,6.902428993,9.285812219,710942.5815
50,0,None,None,13.75200368,9.201213509,7.77017551,3.84670389,3.646148882,0.916143732,0.426636302,2.714994666,2.773702594,5.67198233,3.141134147,16.52882994,10.98901955,0.017270029,1.341689944,4.567349079,9.435770059,8.8289801,9.338916801,16.5739687,7.687638887,87280104.55
51,0,None,None,17.22869315,7.980847011,6.884930829,3.853055999,3.211010739,0.358533445,0.418626372,4.607146498,3.389524561,2.176446209,6.552082396,18.48542577,15.7974432,1.266188794,0.243951768,2.322903342,9.213697016,16.9022512,22.36906786,15.32436818,12.68555816,12090132.13
52,0,None,None,15.66491212,6.152900782,9.510746887,3.07385649,2.925283285,0.979217547,0.794862458,4.523229531,2.489034266,4.423299186,6.578754713,19.88118523,18.45067139,1.496750648,0.420585029,1.134331803,9.253312401,12.70655992,26.84744742,13.02565626,27.39570186,226622118.2
53,0,None,None,17.50788537,8.23058666,9.286987574,1.971426457,2.535693236,0.936310395,0.207389494,4.004786955,3.212030695,4.61182247,2.670342858,10.71292942,14.3774051,0.231978128,0.303475379,2.413345326,6.75928838,22.77730421,18.82651846,7.108833172,5.432668471,1235009.187
54,0,None,None,11.89832239,9.266728465,5.262949724,1.950026119,3.914073579,0.896030099,0.947183097,4.723987272,4.355338131,3.238758007,6.205351149,10.57491493,14.33448419,0.7399523,0.081499866,1.975161232,9.655968855,10.81531406,5.735522923,29.01063317,1.934442592,198847019.1
55,0,None,None,11.88335213,8.333993406,7.89912649,1.496618798,1.730161827,0.779916918,0.545909505,3.137917986,4.466668931,2.094383684,4.897666051,14.18758948,17.97210145,0.110694964,0.504339843,4.8649336,8.319652099,3.326819456,10.16850973,15.30841443,24.37614935,148811680.4
56,0,None,None,10.16632684,5.582147542,8.518126502,1.65621823,1.451210476,0.475596726,0.463481012,3.416072215,2.259610002,5.767675662,3.795754809,18.00808178,10.08274035,0.431525284,0.469237955,4.670421366,6.608002489,10.88867765,7.638549914,8.54897313,18.91537318,98447278.35
